    r2             l0-1234         l1-1234         l1-1235         l2-1235         l2-1246         l3-1246          final
8.14174E-001    1.04806E-007    1.04806E-007    1.04806E-007    1.04806E-007    1.04806E-007    1.04806E-007    1.04806E-007
8.22316E-001    1.31180E-007    1.31180E-007    1.31180E-007    1.31180E-007    1.31180E-007    1.31180E-007    1.31180E-007
8.30539E-001    1.79104E-007    1.79104E-007    1.79104E-007    1.79104E-007    1.79104E-007    1.79104E-007    1.79104E-007
8.38844E-001    2.30107E-007    2.30107E-007    2.30107E-007    2.30107E-007    2.30107E-007    2.30107E-007    2.30107E-007
8.47233E-001    2.85094E-007    2.85094E-007    2.85094E-007    2.85094E-007    2.85094E-007    2.85094E-007    2.85094E-007
8.55705E-001    3.45012E-007    3.45012E-007    3.45012E-007    3.45012E-007    3.45012E-007    3.45012E-007    3.45012E-007
8.64262E-001    4.10865E-007    4.10865E-007    4.10865E-007    4.10865E-007    4.10865E-007    4.10865E-007    4.10865E-007
8.72905E-001    4.83723E-007    4.83723E-007    4.83723E-007    4.83723E-007    4.83723E-007    4.83723E-007    4.83723E-007
8.81634E-001    5.64734E-007    5.64734E-007    5.64734E-007    5.64734E-007    5.64734E-007    5.64734E-007    5.64734E-007
8.90450E-001    6.55137E-007    6.55137E-007    6.55137E-007    6.55137E-007    6.55137E-007    6.55137E-007    6.55137E-007
8.99355E-001    7.56273E-007    7.56273E-007    7.56273E-007    7.56273E-007    7.56273E-007    7.56273E-007    7.56273E-007
9.08348E-001    8.69602E-007    8.69602E-007    8.69602E-007    8.69602E-007    8.69602E-007    8.69602E-007    8.69602E-007
9.17432E-001    9.96709E-007    9.96709E-007    9.96709E-007    9.96709E-007    9.96709E-007    9.96709E-007    9.96709E-007
9.26606E-001    1.13933E-006    1.13933E-006    1.13933E-006    1.13933E-006    1.13933E-006    1.13933E-006    1.13933E-006
9.35872E-001    1.29935E-006    1.29935E-006    1.29935E-006    1.29935E-006    1.29935E-006    1.29935E-006    1.29935E-006
9.45231E-001    1.47883E-006    1.47883E-006    1.47883E-006    1.47883E-006    1.47883E-006    1.47883E-006    1.47883E-006
9.54683E-001    1.68004E-006    1.68004E-006    1.68004E-006    1.68004E-006    1.68004E-006    1.68004E-006    1.68004E-006
9.64230E-001    1.90544E-006    1.90544E-006    1.90544E-006    1.90544E-006    1.90544E-006    1.90544E-006    1.90544E-006
9.73872E-001    2.15771E-006    2.15771E-006    2.15771E-006    2.15771E-006    2.15771E-006    2.15771E-006    2.15771E-006
9.83611E-001    2.43981E-006    2.43981E-006    2.43981E-006    2.43981E-006    2.43981E-006    2.43981E-006    2.43981E-006
9.93447E-001    2.75493E-006    2.75493E-006    2.75493E-006    2.75493E-006    2.75493E-006    2.75493E-006    2.75493E-006
1.00338E+000    3.10656E-006    3.10656E-006    3.10656E-006    3.10656E-006    3.10656E-006    3.10656E-006    3.10656E-006
1.01342E+000    3.49851E-006    3.49851E-006    3.49851E-006    3.49851E-006    3.49851E-006    3.49851E-006    3.49851E-006
1.02355E+000    3.93491E-006    3.93491E-006    3.93491E-006    3.93491E-006    3.93491E-006    3.93491E-006    3.93491E-006
1.03379E+000    4.42025E-006    4.42025E-006    4.42025E-006    4.42025E-006    4.42025E-006    4.42025E-006    4.42025E-006
1.04412E+000    4.95942E-006    4.95942E-006    4.95942E-006    4.95942E-006    4.95942E-006    4.95942E-006    4.95942E-006
1.05456E+000    5.55769E-006    5.55769E-006    5.55769E-006    5.55769E-006    5.55769E-006    5.55769E-006    5.55769E-006
